"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1990",0,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.942,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.405,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.37,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.662,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.526,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.453,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",29,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.765,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",28.095,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.515,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.606,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.263,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.958,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.719,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.19,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",27.03,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.166,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.343,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.454,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.31,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.287,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.435,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.744,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.587,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",20.519,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",19.473,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.251,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",19.965,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",19.698,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",19.438,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",19.187,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",19.088,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",18.864,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",18.518,
